date	exp	fill_lvl
13/11	35.0	50
15/11	35.0	50
17/11	36.9	50
22/11	38.1	50
2/12	38.1	50
3/12	38.8	50
5/12	38.1	50
7/12	36.9	50
1/13	38.1	47
3/13	38.1	47
5/13	38.1	47
8/13	36.3	47
9/13	35.0	47
11/13	33.6	47
13/13	32.1	47
15/13	38.1	47
17/13	38.1	47
19/13	38.1	47
21/13	38.8	47
23/13	38.8	47
1/14	38.8	47
3/14	38.8	47
5/14	38.8	47
7/14	37.5	47
9/14	36.9	47
11/14	36.3	47
13/14	37.5	47
15/14	36.9	47
17/14	38.1	47
19/14	38.8	47
21/14	39.4	47
23/14	39.4	47
1/15	38.8	47
3/15	38.8	47
5/15	38.1	47
7/15	38.8	47
9/15	36.9	47
11/15	36.3	47
13/15	36.9	47
19/15	38.1	47
21/15	38.8	47
23/15	39.4	47
1/16	38.8	47
3/16	39.4	47
5/16	38.8	47
7/16	38.8	47
1/13	38.1	47
1/13	38.1	47
3/13	38.1	47
3/13	38.1	47
5/13	38.1	47
5/13	38.1	47
8/13	36.3	47
8/13	36.3	47
9/13	35.0	47
9/13	35.0	47
11/13	33.6	47
11/13	33.6	47
13/13	32.1	47
13/13	32.1	47
15/13	38.1	47
15/13	38.1	47
17/13	38.1	47
17/13	38.1	47
19/13	38.1	47
19/13	38.1	47
21/13	38.8	47
21/13	38.8	47
23/13	38.8	47
23/13	38.8	47
1/14	38.8	47
1/14	38.8	47
3/14	38.8	47
3/14	38.8	47
5/14	38.8	47
5/14	38.8	47
7/14	37.5	47
7/14	37.5	47
9/14	36.9	47
9/14	36.9	47
11/14	36.3	47
11/14	36.3	47
13/14	37.5	47
13/14	37.5	47
15/14	36.9	47
15/14	36.9	47
17/14	38.1	47
17/14	38.1	47
19/14	38.8	47
19/14	38.8	47
21/14	39.4	47
21/14	39.4	47
23/14	39.4	47
23/14	39.4	47
1/15	38.8	47
1/15	38.8	47
3/15	38.8	47
3/15	38.8	47
5/15	38.1	47
5/15	38.1	47
7/15	38.8	47
7/15	38.8	47
9/15	36.9	47
9/15	36.9	47
11/15	36.3	47
11/15	36.3	47
13/15	36.9	47
13/15	36.9	47
19/15	38.1	47
21/15	38.8	47
23/15	39.4	47
1/16	38.8	47
3/16	39.4	47
5/16	38.8	47
7/16	38.8	47
1/13	28.3	47
3/13	28.3	47
5/13	28.3	47
8/13	27.1	47
9/13	26.3	47
11/13	25.4	47
13/13	24.3	47
15/13	27.5	47
17/13	27.1	47
19/13	27.1	47
21/13	27.5	47
23/13	27.5	47
1/14	27.5	47
3/14	27.5	47
5/14	27.5	47
7/14	26.7	47
9/14	26.7	47
11/14	26.3	47
13/14	27.1	47
15/14	26.7	47
17/14	27.1	47
19/14	27.5	47
21/14	27.9	47
23/14	27.9	47
1/15	27.5	47
3/15	27.5	47
5/15	27.1	47
7/15	27.5	47
9/15	26.7	47
11/15	26.3	47
13/15	26.7	47
19/15	27.1	47
21/15	27.5	47
23/15	27.9	47
1/16	27.5	47
3/16	27.9	47
5/16	27.5	47
7/16	27.5	47
